sname,elcode,taxon_id,inat_name,last_updated,scomname,generic_name
Mirabilis laevis var. retrorsa,PDNYC0A043,81127.0,Mirabilis laevis retrorsa,2026-05-06,Bigelow's four-o'clock,
Pomoleuctra andersoni,IIPLE0D010,212048.0,Pomoleuctra andersoni,2026-05-06,Oregon needlefly,
Limnanthes alba ssp. gracilis,PDLIM02053,236729.0,Limnanthes alba gracilis,2026-05-06,Slender meadow-foam,
Acipenser medirostris pop. 2,AFCAA01032,1633134.0,Sinosturio medirostris,2026-05-06,Green sturgeon (Northern DPS),Acipenser medirostris
Chloroscypha flavida,NFFUN2J010,483993.0,Chloroscypha flavida,2026-05-06,Fungus,
Pseudocyphellaria hawaiiensis,NLT0032430,463890.0,Pseudocyphellaria hawaiiensis,2026-05-06,Gilded specklebelly lichen,
Ramellogammarus similimanus,ICMAL81020,1473073.0,Ramellogammarus similimanus,2026-05-06,Stumptown scud,
Rubroboletus pulcherrimus,NFSM000016,790951.0,Rubroboletus pulcherrimus,2026-05-06,Red-pored bolete,
Rhizopogon evadens var. subalpinus,NFBOL0B0C1,118144.0,Rhizopogon evadens subalpinus,2026-05-06,Fungus,
Russula chlorineolens,NFSM000098,1096093.0,Russula chlorineolens,2026-05-06,Fungus,
Doellingeria gormanii,PDASTEC060,1490930.0,Doellingeria gormanii,2026-05-06,Gorman's aster,
Eriocoma pinetorum,PMPOA5X0R0,1224698.0,Eriocoma pinetorum,2026-05-06,Pine needlegrass,
Leuconotopicus albolarvatus,ABNYF07070,1651488.0,Leuconotopicus albolarvatus,2026-05-06,White-headed Woodpecker,
Dissingia crassitunicata,NFFUN2U010,1068999.0,Dissingia crassitunicata,2026-05-06,Fungus,
Doellingeria vialis,PDASTEC0A0,1490938.0,Doellingeria vialis,2026-05-06,Wayside aster,
