ELCODE,G_RANK,ELEMENT_SUBNATIONAL_ID,SNAME,SCOMNAME,S_RANK,EO_TRACK_STATUS_DESC
IILEPE2100,G3,7447.0,Callophrys johnsoni,Johnson's hairstreak,S2S3,Track all extant and selected historical EOs
IMGASG3100,GH,7939.0,Fluminicola nuttallianus,Dusky pebblesnail,SH,Track all extant and selected historical EOs
IIEPH15120,G1G2,7262.0,Ameletus dissitus,A mayfly,S1S2,Track all extant and selected historical EOs
ICBRA03050,G2,12437.0,Branchinecta campestris,Pocket pouch fairy shrimp,S1,Track all extant and selected historical EOs
IMGASN0120,G1,8029.0,Planorbella oregonensis,Borax Lake ramshorn,S1,Track all extant and selected historical EOs
IMGASN2041,G1QT1Q,8038.0,Vorticifex klamathensis klamathensis,Klamath ramshorn,S1,Track all extant and selected historical EOs
IIPLE1B020,G2,442057.0,Kathroperla takhoma,Slenderhead sallfly,S2,Track all extant and selected historical EOs
IILEPK4010,G3,13084.0,Euphydryas gillettii,Gillett's checkerspot,S1,Track all extant and selected historical EOs
IILEPG801C,G5T1,7479.0,Icaricia icarioides fenderi,Fender's blue,S1,Track all extant and selected historical EOs
IMGASM0150,G1Q,8013.0,Physella hordacea,Grain physa,S1,Track all extant and selected historical EOs
IMGASC7035,G4G5T2,7925.0,Monadenia fidelis celeuthia,Traveling sideband,S2,Track all extant and selected historical EOs
IMGASJ9020,G1,7973.0,Pomatiopsis californica,Pacific walker,S1,Track all extant and selected historical EOs
IIHEM97010,G5,7328.0,Pinalitus solivagus,True fir plant bug,S2S3,Track all extant and selected historical EOs
IIHEM34030,G2,7306.0,Acalypta cooleyi,Cooley's lace bug,S2,Track all extant and selected historical EOs
IICOL73180,G5,7251.0,Bembidion tigrinum,Cryptic beach carabid beetle,S4,Track all extant and selected historical EOs
IIHEM88010,G4,7318.0,Hebrus buenoi,Bueno's velvet water bug,S3,Track all extant and selected historical EOs
IIEPH33210,G1G2,7279.0,Paraleptophlebia falcula,A prongill mayfly,S2,Track all extant and selected historical EOs
IMGASG3220,G1,7950.0,Fluminicola sp. 10,Metolius pebblesnail,S1,Track all extant and selected historical EOs
IAOLI01020,G1,7176.0,Driloleirus macelfreshi,Oregon giant earthworm,S1S2,Track all extant and selected historical EOs
ICMAL05490,G1G2,7195.0,Stygobromus hubbsi,Malheur Cave amphipod,S1S2,Track all extant and selected historical EOs
