ELCODE,G_RANK,ELEMENT_SUBNATIONAL_ID,SNAME,SCOMNAME,S_RANK,EO_TRACK_STATUS_DESC
PMPOT030Z0,G5,12894.0,Potamogeton robbinsii,Flatleaf pondweed,S2?,Track all extant and selected historical EOs
PDFAB0F282,G5T1,8562.0,Astragalus collinus var. laurentii,Laurence's milk-vetch,S1,Track all extant and selected historical EOs
PDSCR1K100,G4,418171.0,Pedicularis semibarbata,Pinewoods pedicularis,S1,Track all extant and selected historical EOs
PMPOA4R010,G5,13832.0,Phalaris angusta,Narrow canarygrass,S2?,Track all extant and selected historical EOs
PDAST4N080,G4,9569.0,Helianthus bolanderi,Bolander's sunflower,S2,Track all extant and selected historical EOs
PDFAB0FB9R,G5T3T4,365297.0,Astragalus lentiginosus var. floribundus,Floriferous freckled milkvetch,SNR,Track all extant and selected historical EOs
PMCYP039D1,G5,9604.0,Carex media,Intermediate sedge,S1,Track all extant and selected historical EOs
PDAST3M337,G5T5,8302.0,Erigeron peregrinus var. peregrinus,Wandering daisy,S1,Track all extant and selected historical EOs
PDAST3N05K,G5T3T4,365361.0,Eriophyllum lanatum var. grandiflorum,Large-flower eriophyllum,SNR,Track all extant and selected historical EOs
PDFAB0F2C2,G4T3T4,14019.0,Astragalus conjunctus var. conjunctus,Idaho milk-vetch,SNR,Track all extant and selected historical EOs
PMCYP036E0,G3,9132.0,Carex idahoa,Idaho sedge,S1,Track all extant and selected historical EOs
PDBOR0V0W0,G5,365283.0,Plagiobothrys reticulatus,Netted plagiobothrys,SNR,Track all extant and selected historical EOs
PDHAL040E0,G4,8683.0,Myriophyllum ussuriense,Russian water-milfoil,S1?,Track all extant and selected historical EOs
PMCYP031B0,G5,9115.0,Carex atrosquama,Blackened sedge,S1,Track all extant and selected historical EOs
PMCYP03300,G5,9124.0,Carex concinna,Low northern sedge,S1,Track all extant and selected historical EOs
PPADI0H050,G4,9361.0,Pellaea bridgesii,Bridges' cliff-brake,S2,Track all extant and selected historical EOs
PDROS0X0L0,G3G4,8918.0,Ivesia shockleyi,Shockley's ivesia,S1,Track all extant and selected historical EOs
PMIRI090Z3,G4G5T1,10630.0,Iris tenax var. gormanii,Gorman's iris,S1,Track all extant and selected historical EOs
PDONA03190,G5?,9439.0,Camissonia parvula,Lewis' River suncup,S2,Track all extant and selected historical EOs
PDSCR1L4X0,G3?,9048.0,Penstemon perpulcher,Beautiful penstemon,S1,Track all extant and selected historical EOs
PMCYP0H060,G4G5,9177.0,Lipocarpha aristulata,Aristulate lipocarpha,S1,Track all extant and selected historical EOs
PDRAN0H070,G2,8880.0,Myosurus sessilis,Sessile mousetail,S1,Track all extant and selected historical EOs
PDFAB0F6X0,G4,8580.0,Astragalus platytropis,Broad-keeled milk-vetch,S1,Track all extant and selected historical EOs
PDSOL0M0F0,G5,9062.0,Nicotiana quadrivalvis,Indian tobacco,S1,Track all extant and selected historical EOs
PDSAX0X020,G2,8976.0,Sullivantia oregana,Oregon sullivantia,S2,Track all extant and selected historical EOs
PDVIO041S3,G5TNR,365327.0,Viola purpurea ssp. dimorpha,Goosefoot violet,SNR,Track all extant and selected historical EOs
PDAST7J010,G5,9495.0,Prenanthella exigua,Desert prenanthella,S1,Track all extant and selected historical EOs
PDLNT02100,G5,8720.0,Utricularia gibba,Humped bladderwort,S1,Track all extant and selected historical EOs
PDPGN085V0,G4,8798.0,Eriogonum thymoides,Thyme-leaved buckwheat,S2,Track all extant and selected historical EOs
PDSAX0W020,G4G5,8975.0,Suksdorfia violacea,Violet suksdorfia,S1,Track all extant and selected historical EOs
PMLIL0D0L0,GX,9241.0,Calochortus indecorus,Sexton Mt. mariposa-lily,SX,Track all extant and selected historical EOs
PDBOR0A2M0,G4,8387.0,Cryptantha rostellata,Beaked cryptantha,SNR,Track all extant and selected historical EOs
PMCYP03810,G5,9686.0,Carex macrocephala,Bighead sedge,S2,Track all extant and selected historical EOs
PDRAN0B2L0,G1Q,8875.0,Delphinium oreganum,Willamette Valley larkspur,S1,Track all extant and selected historical EOs
