name,label,sname,author,scomname,s_rank,eo_track_status_desc,explorer,egt_uid,family,ELCODE_BCD,NAME_CATEGORY_DESC,growth_habit,element_type,duration
9748,Pseudocyphellaria hawaiiensis : Gilded specklebelly lichen,Pseudocyphellaria hawaiiensis,H. Magn.,Gilded specklebelly lichen,S3,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.636954,ELEMENT_GLOBAL.2.636954,Lobariaceae,NLT0032430,Fungus,FUNGUS|LICHEN,Plant,
10315,Pseudocyphellaria mallota : Lichen,Pseudocyphellaria mallota,(Tuckerman) H. Magnusson,Lichen,S3,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.730971,ELEMENT_GLOBAL.2.730971,Lobariaceae,NLLEC3B070,Fungus,FUNGUS|LICHEN,Plant,
419966,Pseudoleskea tribulosa : Moss,Pseudoleskea tribulosa,Shevock &amp; W.R. Buck,Moss,SNR,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1077162,ELEMENT_GLOBAL.2.1077162,Leskeaceae,NBMUS5Z090,Nonvascular Plant,,Plant,
10461,Pseudoleskeella tectorum : Rooftop Leske's moss,Pseudoleskeella tectorum,(Funck ex Brid.) Kindb. in Broth.,Rooftop Leske's moss,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.123130,ELEMENT_GLOBAL.2.123130,Leskeaceae,NBMUS60030,Nonvascular Plant,,Plant,
12776,Pterocladiella caloglossoides : Red marine alga,Pterocladiella caloglossoides,(M. Howe) Santelices,Red marine alga,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.830307,ELEMENT_GLOBAL.2.830307,Gelidiaceae,NARHO48010,Alga (Plant),,Plant,
8083,Ptilidium pulcherrimum : Tree fringewort,Ptilidium pulcherrimum,(Weber) Vain.,Tree fringewort,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.122800,ELEMENT_GLOBAL.2.122800,Ptilidiaceae,NBHEP2U030,Nonvascular Plant,,Plant,
365375,Ptilium crista-castrensis : Knight's plume moss,Ptilium crista-castrensis,(Hedw.) De Not.,Knight's plume moss,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.121417,ELEMENT_GLOBAL.2.121417,Hypnaceae,NBMUS66010,Nonvascular Plant,,Plant,
12120,Ptychostomum cyclophyllum : Round-leaved bryum,Ptychostomum cyclophyllum,(Schwägr.) J.R. Spence,Round-leaved bryum,S1,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.802666,ELEMENT_GLOBAL.2.802666,Bryaceae,NBMUSA3010,Nonvascular Plant,,Plant,
13728,Ptychostomum pacificum : Moss,Ptychostomum pacificum,J. R. Spence & Shevock,Moss,SNR,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.886279,ELEMENT_GLOBAL.2.886279,Bryaceae,NBMUSA3020,Nonvascular Plant,,Plant,
12755,Pyropia torta : Red marine alga,Pyropia torta,(V. Krishnamurthy) S.C. Lindstrom,Red marine alga,S2,Track all extant and selected historical EOs,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.830370,ELEMENT_GLOBAL.2.830370,Bangiaceae,NARHO24070,Alga (Plant),,Plant,
