SNAME,SCOMNAME,AUTHOR_NAME_FULL,HP_LIST,added to project,iNaturalist name if different,Biotics updated,notes/issues,References
Carex subnigricans,Dark alpine sedge,Stacey,2,y,,,,
Carex sychnocephala,Many-headed sedge,Carey,2,y,,,,
Carex tahoensis,Tahoe sedge,Smiley,2,y,,,,
Carex tiogana,Tioga Pass sedge,D. Taylor & J. Mastrogiuseppe,1,y,Carex capillaris capillaris,n,"Leave as-is, ORBIC name matches ORFlora.",Carex tiogana | Plants of the World Online | Kew Science
Carex vernacula,Native sedge,Bailey,2,y,,,,
Carex zikae,Short-stemmed sedge,H.E. Roalson & M.J. Waterway,2,y,,,,
Castilleja brevilobata,Short-lobed red-paintbrush,Piper,4,y,,,,
Castilleja chambersii,Chambers' paintbrush,J.M. Egger & R.J. Meinke,1,y,,,,
Castilleja chlorotica,Green-tinged paintbrush,Piper,1,y,,,,
Castilleja collegiorum,Collegial paintbrush,J.M. Egger & S. Malaby,1,y,,,,
Castilleja flava var. rustica,Rustic paintbrush,S. Wats.,2,y,,,,
Castilleja fraterna,Fraternal paintbrush,Greenm.,1,y,,,,
Castilleja levisecta,Golden paintbrush,Greenm.,1-ex,y,,,,
Castilleja lutea,Yellow paintbrush,Heller,3,y,Castilleja cusickii,"n, review in future","LKW: leave as-is for now, check ORFlora Vol 3 when published. NatureServe taxonomic comment (from 2019 or previous): Castilleja lutea has been included in Castilleja cusickii by modern authors. However, there is evidence that this species should be resurrected. A treatment that recognizes Castilleja lutea is reported to be forthcoming.",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.961335/Castilleja_lutea
Castilleja mendocinensis,Mendocino coast paintbrush,(Eastw.) Pennell,1,y,,,,
Castilleja oresbia,Pale Wallowa paintbrush,Greenm.,4,y,,,,
Castilleja rubida,Purple alpine paintbrush,Piper,1,y,,,,
Castilleja rupicola,Cliff paintbrush,Piper ex Fern.,4,y,,,,
Castilleja schizotricha,Split-hair paintbrush,Greenm.,2,y,,,,
Castilleja septentrionalis,Labrador paintbrush,Lindl.,3,y,,,,
Castilleja thompsonii,Thompson's paintbrush,Pennell,2,y,,,,
Caulanthus major,Slender wild cabbage,(M.E. Jones) Payson,2,y,,,,
Caulanthus pilosus,Hairy wild cabbage,S. Wats.,2,y,,,,
Cerastium beeringianum,Alpine chickweed,Cham. & Schlecht.,3,y,,,,
Ceratophyllum echinatum,Prickly hornwort,Gray,2-ex,y,,,,
Chaenactis cusickii,Cusick's chaenactis,Gray,4,y,,,,
Chaenactis macrantha,Large-flowered chaenactis,D.C. Eat.,4,y,,,,
Chaenactis nevii,Nevius' chaenactis,Gray,4,y,,,,
Chaenactis suffrutescens,Shasta pincushion,A. Gray,1,y,,,,
Chaenactis xantiana,Desert pincushion,Gray,2,y,,,,
Chaetadelpha wheeleri,Wheeler's skeleton-weed,A. Gray ex S. Watson,2,y,,,,
Chamaenerion latifolium,Broad-leaved willow-herb,(L.) Sweet,4,y,,,,
Cheilanthes covillei,Coville's lipfern,Maxon,2,y,Myriopteris covillei,y,"ORBIC name changed, matches ORFlora",https://phytokeys.pensoft.net/articles.php?id=1502
Cheilanthes feei,Fee's lipfern,T. Moore,2,y,Myriopteris gracilis,y,"ORBIC name changed, matches ORFlora",https://phytokeys.pensoft.net/articles.php?id=1502
Cheilanthes intertexta,Coastal lipfern,(Maxon) Maxon,2,y,Myriopteris intertexta,y,"ORBIC name changed, matches ORFlora",https://phytokeys.pensoft.net/articles.php?id=1502
Chenopodium nevadense,Nevada goosefoot,Standl.,3,y,,,,
Chlorocrambe hastata,Spearhead,(S. Wats.) Rydb.,1,y,,,,
Chlorogalum angustifolium,Narrow-leaved amole,Kellogg,2,y,,,,
Chloropyron maritimum ssp. palustre,Pt. Reyes bird's-beak,(Nutt. ex Benth.) A. Heller,1,y,,,,
Chorizanthe brevicornu var. spathulata,Brittle spineflower,Torr.,3,y,,,,
Chylismiella pterosperma,Wing seeded evening primrose,(S. Watson) W.L. Wagner & Hoch,3,y,,,,
Cicendia quadrangularis,Timwort,(Lam.) Griseb.,2,y,,,,
Cicuta bulbifera,Bulb-bearing water-hemlock,L.,2-ex,y,,,,
Cimicifuga elata var. alpestris,Mountain tall bugbane,Nutt.,4,y,Actaea elata alpestris,"y, needs review","[LKW: change genus to Actaea but leave ssp. as-is. Elevating to full species as OregonFlora does would mean dropping both from our list, most likely; review needed. potentially agency data not in Biotics] This one was weird, Cimicifuga isn't in iNat but was able to find them under Actaea",
Cimicifuga elata var. elata,Tall bugbane,Nutt.,3,y,Actaea elata elata,"y, needs review","[LKW: change genus to Actaea but leave ssp. as-is. Elevating to full species as OregonFlora does would mean dropping both from our list, most likely; review needed. lots of agency data not in Biotics] This one was weird, same as above. This one also had the common name under Actaea elata, but also has A. elata elata as a variety option",
Cimicifuga laciniata,Mt. Hood bugbane,S. Wats.,1,y,Actaea laciniata,y,"ORBIC name changed, matches ORFlora",
Cirsium ciliolatum,Ashland thistle,(Henderson) J.T. Howell,4,y,,,,
Cirsium occidentale var. venustum,Venus thistle,(Nutt.) Jepson,3,y,,,,
Cirsium scariosum var. robustum,Stemless thistle,Nutt.,3,y,,,,
Clarkia heterandra,Small-fruit clarkia,(Torr.) Lewis & Raven,4,y,,,,
Claytonia nevadensis,Sierra spring-beauty,S. Wats.,4,y,,,,
Clintonia andrewsiana,Andrew's bead-lily,Torr.,2-ex,y,,,,
Cochlearia groenlandica,Scurvygrass,L.,2,y,,,,
Coleanthus subtilis,Moss grass,(Tratt.) Seidel,2,y,,,,
Collomia larsenii,Talus collomia,(Gray) Payson,4,y,,,,
Collomia mazama,Mt. Mazama collomia,Coville,1,y,,,,
Collomia renacta,Barren Valley collomia,E. Joyal,1,y,,,,
Collomia tenella,Diffuse collomia,Gray,3,y,,,,
Comastoma tenellum,Slender gentian,(Rottb.) Toyokuni,2,y,,,,
